      PK_Question  FK_QuestionType  Code                                                                                                                                                                                                                                                                                                                                                                       QuestionText
4361         4079               35   DEC                                                                                                                                                                                                                                                                                                                           WHAT WAS THE MEAN TIME TO DETECTION OF APPLICABLE EVENTS
4366         4069               35   DEC                                                                                                                                                                                                                                                                                              WHAT FREQUENCY DOES THE ORGANIZATION SCAN FOR UNAUTHORIZED WIRELESS ACCESS POINTS WAP
4386         3982               35   DEC                                                                                                                                                                                                                                                                                                WHAT IS THE MINIMUM FREQUENCY FOR DEVICE DISCOVERY SCANNING CONDUCTED ON ALL ASSETS
4617         3438               35   DEC                                                                                                                                                                                                                                                                                                                       WHAT WAS THE AVERAGE FREQUENCY IN DAYS OF CONTENT PROVISIONS
4618         3433               35   DEC                                                                                                                                                                                                                                                                                                                           WHAT WAS THE MEAN TIME TO DETECTION OF APPLICABLE EVENTS
4623         3425               35   DEC                                                                                                                            WITH WHAT FREQUENCY DOES THE ORGANIZATION CONDUCT PLANNED UNANNOUNCED SCANS FOR UNAUTHORIZED WAPS SCANS OF DIFFERENT AREAS MAY COUNT AS DIFFERENT SCANS A SCAN DOES NOT NEED TO COVER A SUBSTANTIAL PORTION OF THE ORGANIZATION OR ASSETS TO BE COUNTED
4625         3422               35   DEC                                                                                 WITH WHAT FREQUENCY DOES THE ORGANIZATION CONDUCT SCHEDULED SCANS FOR UNAUTHORIZED WIRELESS ACCESS POINTS WAP CONNECTED TO AN ORGANIZATIONAL NETWORK SCANS OF DIFFERENT AREAS MAY COUNT AS DIFFERENT SCANS A SCAN DOES NOT NEED TO COVER A PARTICULAR PERCENTAGE OF THE ORGANIZATION TO BE COUNTED
4652         3269               35   DEC                      HOW OFTEN ARE THESE AUTOMATED CAPABILITIES SCANSDEVICE DISCOVERY PROCESSES CONDUCTED ON ALL ASSETS CONNECTED TO THE ORGANIZATIONS FULL NETWORKS REPORT THE LOWEST FREQUENCY OF AUTOMATED DEVICE DISCOVERY ON ANY APPLICABLE NETWORK OF THE ORGANIZATION IN THE COMMENTS YOU MAY INCLUDE AN AVERAGE TIME WEIGHTED BY ASSETS PER DISCOVERY FREQUENCY IF DESIRED
5151         1614               35   DEC                                                                                                                                                               AT WHAT FREQUENCY IS TRAINING TO PERFORM THEIR SIGNIFICANT CYBERSECURITY RESPONSIBILITIES UPDATED BY THE ORGANIZATION OR TRAINING PROVIDER AVERAGE FREQUENCY IN DAYS ACROSS ROLES DURING FY SEE GENERAL INSTRUCTIONS
5152         1613               35   DEC                                                                                                                                      PROVIDE THE LONGEST ORGANIZATIONALLY DEFINED FREQUENCY THAT HAS BEEN DETERMINED TO PROVIDE ADEQUATE SECURITY FOR ANY ROLE AMONG THOSE INCLUDED IN SIGNIFICANT SECURITY RESPONSIBILITIES DAYS BETWEEN TRAINING EVENTS SEE GENERAL INSTRUCTIONS
5157         1608               35   DEC                                                                                                                                                                                   AT WHAT FREQUENCY IS SECURITY AWARENESS TRAINING CONTENT THAT IS PROVIDED TO USERS UPDATED BY THE ORGANIZATION OR TRAINING PROVIDER AVERAGE FREQUENCY IN DAYS DURING FY SEE GENERAL INSTRUCTIONS
5159         1606               35   DEC                                                                                                                                                                                                                                                                                           PROVIDE THE AVERAGE FREQUENCY IN DAYS BETWEEN CONTENT PROVISION SEE GENERAL INSTRUCTIONS
5161         1599               35   DEC                                                                                                                                                                                                                                                                          MEDIAN TIME TO DETECTION OF APPLICABLE EVENTS TIME IN DAYS AND FRACTIONS OF DAYS SEE GENERAL INSTRUCTIONS
5167         1589               35   DEC                                                                                                                                                                                                  PROVIDE THE FREQUENCY IN DAYS EG OR IN WHICH THE ORGANIZATION MAPS THEIR CYBER PERIMETER EG PUBLICALLY ACCESSIBLE SYSTEMS EXTERNALLY VISIBLE SYSTEMS AND DEVICES FOR EACH NETWORK
5168         1588               35   DEC                                                                                                                                                                                                                                                   PROVIDE THE FREQUENCY IN DAYS EG OR IN WHICH THE ORGANIZATION CONDUCTS UNSCHEDULED SCANS FOR UNAUTHORIZED WIRELESS ACCESS POINTS
5169         1586               35   DEC                                                                                                                                                                                                          PROVIDE THE FREQUENCY IN DAYS EG OR IN WHICH THE ORGANIZATION CONDUCTS SCHEDULED SCANS FOR UNAUTHORIZED WIRELESS ACCESS POINTS WAP CONNECTED TO AN ORGANIZATIONAL NETWORK
5223         1478               35   DEC                                                                                                                                                                                                                                                                               HOW FREQUENTLY IS THE IDENTIFICATION OF DEVIATIONS CONDUCTED ANSWER IN DAYS PER GENERAL INSTRUCTIONS
5227         1473               35   DEC                                                                                                                                                                                                                                                                               HOW FREQUENTLY IS THE IDENTIFICATION OF DEVIATIONS CONDUCTED ANSWER IN DAYS PER GENERAL INSTRUCTIONS
5240         1458               35   DEC                                                                                                                                                                                       FOR THE ASSETS IN HOW MUCH TIME DOES IT ACTUALLY TAKE TO A ASSIGN FOR MANAGEMENT AUTHORIZE OR B REMOVE UNAUTHORIZED DEVICES ONCE DISCOVERED WITH CONFIDENCE DURATION IN DAYS EG DAYS OR DAYS
5244         1454               35   DEC                                                                                                                                                                                                                                                                       HOW MUCH TIME DOES IT TAKE A DEVICE DISCOVERY TOOL TO COMPLETE THIS PROCESS DURATION IN DAYS EG DAYS OR DAYS
5245         1453               35   DEC                                                                                                                                                                                                                       HOW OFTEN ARE THESE AUTOMATED CAPABILITIES DEVICE DISCOVERY PROCESSES CONDUCTED ON ALL ASSETS CONNECTED TO THE ORGANIZATIONS FULL NETWORKS FREQUENCY IN DAYS
5797          562               23  FREQ                                                                                                                                                                            WHAT IS THE AVERAGE FREQUENCY THAT USERS RECEIVE SUPPLEMENTAL CYBERSECURITY AWARENESS TRAINING CONTENT BEYOND THE ANNUAL TRAINING REQUIREMENT CONTENT COULD INCLUDE A SINGLE QUESTION OR TIP OF THE DAY
