index,ID,Question,Check_Answer,Selections,SML,ML,ML_Score,ML_Scored,Basic_Calc,Basic_Score,Mod_Calc,Mod_Score,Adv_Calc,Adv_Score
201,DP21,Does the agency sanitize/wipe media used to store HVA data prior to retirement or repurposing?,0,Unknown,SML1,1,0.001,0,0.0,,,,,
202,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,
205,Scoring Wheel,,,,,,,,,,,,,
206,,Basic,Moderate,Advanced,,,Basic,Moderate,,,,,,
207,Achieved,2,2,1,,Achieved,2,2,,,,,,
208,Partially Achieved,2,1,0,,Partially Achieved,0,1,,,,,,
209,Not Achieved,20,17,15,,Unknown,5,1,,,,,,
210,,,,,,Not Achieved,15,16,,,,,,
211,Total,22,20,16,,,,,,,,,,
212,,,,,,Total,22,20,,,,,,
213,Summary Table,,,,,,,,,,,,,
214,,Count,Skipped,,,,,,,,,,,
215,SML1,22,1,,1,,,,,,,,,
216,SML2,20,0,,,,,,,,,,,
217,SML3,16,0,,,,,,,,,,,
218,Characterization,7,7,,,,,,,,,,,
219,TBD,7,0,,,,,,,,,,,
