{QuestionText},{helptext},{idt},{FK_PickListType},{FK_QuestionType},{pre},{FK_QuestionGroup},{sortpos},{PK_Question}
"To what extent does the organization use a comprehensive ICAM policy, strategy, process, and technology solution roadmap to guide its ICAM processes and activities?","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not developed a comprehensive ICAM policy, strategy, process, and technology solution road map to guide its ICAM processes and activities.
In addition, the organization has not performed a review of current practices, identified gaps, and developed a transition plan to serve as an input to the ICAM policy, strategy, and technology solution road map.</li><li> <strong>Defined:</strong></li><li> <strong>Consistently Implemented:</strong></li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong>On a near real-time basis, the organization actively adapts its ICAM policy, strategy, and related processes and activities to a changing cybersecurity landscape to respond to evolving and sophisticated threats.
The organization employs adaptive identification and authentication techniques to assess suspicious behavior and potential violations of its ICAM policies and procedures on a near- real time basis.</li></ul>",27,85,17,",",@PK_QGroup+5,2,53067
To what extent has the organization developed and implemented processes for assigning position risk designations and performing appropriate personnel screening prior to granting access to its systems?,"<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not defined its processes for assigning personnel risk designations and performing appropriate screening prior to granting access to its systems.</li><li> <strong>Defined:</strong></li><li> <strong>Consistently Implemented:</strong></li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong>On a near-real time basis, the organization evaluates personnel security information from various sources, integrates this information with anomalous user behavior data (audit logging) and/or its insider threat activities, and adjusts permissions accordingly.</li></ul>",28,85,17,",",@PK_QGroup+5,3,53068
"To what extent does the organization ensure that access agreements, including nondisclosure agreements, acceptable use agreements, and rules of behavior, as appropriate, for individuals (both privileged and non- privileged users) that access its systems are completed and maintained?","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not defined its processes for developing, documenting, and maintaining access agreements for individuals that access its systems.</li><li> <strong>Defined:</strong></li><li> <strong>Consistently Implemented:</strong></li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong>On a near real-time basis, the organization ensures that access agreements for privileged and non- privileged users are maintained, as necessary.</li></ul>",29,85,17,",",@PK_QGroup+5,4,53069
"To what extent has the organization implemented phishing-resistant multifactor authentication mechanisms (e.g., PIV, FIDOor web authentication) for non- privileged users to access the organization`s facilities [organization-defined entry/exit points], networks, and systems, including for remote access?","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not planned for the use of strong authentication mechanisms for non- privileged users of the organization’s facilities [organization-defined entry/exit points], systems, and networks, including for remote access. In addition, the organization has not performed digital identity risk assessments to determine which systems require strong authentication.</li><li> <strong>Defined:</strong></li><li> <strong>Consistently Implemented:</strong></li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong>The organization has implemented an enterprise-wide single sign on solution and all the organization`s systems interface with the solution, resulting in an ability to manage user (non-privileged) accounts and privileges centrally and report on effectiveness on a near real-time basis.</li></ul>",30,85,17,",",@PK_QGroup+5,5,53070
"To what extent has the organization implemented phishing-resistant multifactor authentication mechanisms (e.g., PIV, FIDOor web authentication) for privileged users to access the organization`s facilities [organization-defined entry/exit points], networks, and systems, including for remote access?","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not planned for the use of strong authentication mechanisms for privileged users of the organization’s facilities [organization-defined entry/exit points], systems, and networks, including for remote access. In addition, the organization has not performed digital identity risk assessments to determine which systems require strong authentication.</li><li> <strong>Defined:</strong></li><li> <strong>Consistently Implemented:</strong></li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong>The organization has implemented an enterprise-wide single sign on solution and all the organization`s systems interface with the solution, resulting in an ability to manage user (privileged) accounts and privileges centrally and report on effectiveness on a near real-time basis.</li></ul>",31,85,17,",",@PK_QGroup+5,6,53071
"To what extent does the organization ensure that privileged accounts are provisioned, managed, and reviewed in accordance with the principles of least privilege and separation of duties? Specifically, this includes processes for periodic review and adjustment of privileged user accounts and permissions, inventorying and validating the scope and number of privileged accounts, and ensuring that privileged user account activities are logged and periodically reviewed?","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not defined its processes for provisioning, managing, and reviewing privileged accounts.</li><li> <strong>Defined:</strong></li><li> <strong>Consistently Implemented:</strong></li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong>The organization is making demonstrated progress towards implementing EL3’s advanced requirements for user behavior monitoring to detect and alert on privileged user compromise.</li></ul>",32,85,17,",",@PK_QGroup+5,7,53072
"To what extent does the organization ensure that appropriate configuration/connection requirements are maintained for remote access connections? This includes the use of appropriate cryptographic modules, system time-outs, and the monitoring and control of remote access
sessions?","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not defined the configuration/connection requirements for remote access connections, including use of FIPS 140- 2 validated cryptographic modules, system time- outs, and monitoring and control of remote access sessions.</li><li> <strong>Defined:</strong></li><li> <strong>Consistently Implemented:</strong></li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong>The organization has deployed a capability to rapidly disconnect remote access user sessions based on active monitoring. The speed of disablement varies based on the criticality of missions/business functions.</li></ul>",33,85,17,",",@PK_QGroup+5,8,53073
"Provide any additional information on the effectiveness (positive or negative) of the organization’s identity and access management program that was not noted in the questions above. Taking into consideration the overall maturity level generated from the questions above and based on all testing performed, is the identity and access management program effective?",,34,85,9,",",@PK_QGroup+5,9,53074
"To what extent has the organization developed a privacy program for the protection of personally identifiable information (PII) that is collected, used, maintained, shared, and disposed of by information systems?","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong></li><li> <strong>Defined:</strong></li><li> <strong>Consistently Implemented:</strong></li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong>The privacy program is fully integrated with other security areas, such as ISCM, and other business processes, such as strategic planning and risk management. Further, the organization`s privacy program is embedded into daily decision making across the organization and provides for continuous identification of privacy risks.</li></ul>",35,85,17,,@PK_QGroup+6,1,53085
"To what extent has the organization implemented the following security controls to protect its PII and other agency sensitive data, as appropriate, throughout the data lifecycle?
<br> Encryption of data at rest
<br> Encryption of data in transit
<br> Limitation of transfer to removable media
<br> Sanitization of digital media prior to disposal or reuse","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong></li><li> <strong>Defined:</strong></li><li> <strong>Consistently Implemented:</strong></li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong>The organization employs advanced capabilities to enhance protective controls, including:
<br> Remote wiping
<br> Dual authorization for sanitization of media devices
<br> Exemption of media marking as long as the media remains within organizationally-defined control areas
<br> Configuring systems to record the date the PII was collected, created, or updated and when the data is to be deleted or destroyed according to an approved data retention
schedule.</li></ul>",36,85,17,",",@PK_QGroup+6,2,53086
"To what extent has the organization implemented security controls (e.g., EDR) to prevent data exfiltration and enhance network defenses?","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong></li><li> <strong>Defined:</strong></li><li> <strong>Consistently Implemented:</strong></li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong>The organization’s data exfiltration and enhanced network defenses are fully integrated into the ISCM and incident response programs to provide near real-time monitoring of the data that is entering and exiting the network, and other suspicious inbound and outbound communications.
The organization continuously runs device posture assessments (e.g., using EDR tools) to maintain visibility and analytics capabilities related to data exfiltration.</li></ul>",37,85,17,",",@PK_QGroup+6,3,53087
"To what extent has the organization developed and implemented a Data Breach Response Plan, as appropriate, to respond to privacy events?","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong></li><li> <strong>Defined:</strong></li><li> <strong>Consistently Implemented:</strong></li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong>The organization`s Data Breach Response plan is fully  integrated with incident  response, risk management,  continuous monitoring,  continuity of operations, and  other mission/business areas,  as appropriate. Further the organization employs automation to monitor for potential privacy incidents and  takes immediate action to  mitigate the incident and  provide protection to the  affected individuals.</li></ul>",38,85,17,",",@PK_QGroup+6,4,53088
"To what extent does the organization ensure that privacy awareness training is provided to all individuals, including role-based privacy training?
(Note: Privacy awareness training topics should include, as appropriate: responsibilities under the Privacy Act of and E- Government Act of 20consequences for failing to carry out responsibilities, identifying privacy risks, mitigating privacy risks, and reporting privacy incidents, data collections and use
requirements)",<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong></li><li> <strong>Defined:</strong></li><li> <strong>Consistently Implemented:</strong></li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong>The organization has institutionalized a process of  continuous improvement incorporating advanced privacy training practices and  technologies.</li></ul>,39,85,17,",",@PK_QGroup+6,5,53089
"Provide any additional information on the effectiveness (positive or negative) of the organization’s data protection and privacy program that was not noted in the questions above. Taking into consideration the overall maturity level generated from the questions above and based on all testing performed, is the data protection and privacy program effective?",,40,85,9,",",@PK_QGroup+6,6,53090
"To what extent have the roles and responsibilities of security awareness and training program stakeholders been defined, communicated, and implemented across the agency, and appropriately resourced?
Note: This includes the roles and responsibilities for the effective establishment and maintenance of an organization wide security awareness and training program as well as the awareness and training related roles and responsibilities of system users and those with significant security
responsibilities.",<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong></li><li> <strong>Defined:</strong></li><li> <strong>Consistently Implemented:</strong>Individuals are performing the roles and responsibilities that have been defined across the organization.</li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong></li></ul>,41,85,17,,@PK_QGroup+7,1,53101
"To what extent does the organization use an assessment of the skills, knowledge, and abilities of its workforce to provide tailored awareness and specialized security training within the functional areas of: identify, protect, detect, respond, and recover?","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong></li><li> <strong>Defined:</strong></li><li> <strong>Consistently Implemented:</strong>The organization has assessed the knowledge, skills, and abilities of its workforce; tailored its awareness and specialized training; and has identified its skill gaps. Further, the organization periodically updates its assessment to account for a changing risk environment. In addition, the assessment serves as a key input to updating the organization’s awareness and training strategy/plans.</li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong></li></ul>",42,85,17,",",@PK_QGroup+7,2,53102
"To what extent does the organization use a security awareness and training strategy/plan that leverages its skills assessment and is adapted to its mission and risk environment?
Note: The strategy/plan should include the following components:
<br> The structure of the awareness and training program
<br> Priorities
<br> Funding
<br> The goals of the program
<br> Target audiences
<br> Types of courses/ material for each audience
<br> Use of technologies (such as email advisories, intranet updates/wiki pages/social media, web- based training, phishing simulation tools)
<br> Frequency of training
<br> Deployment methods",<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong></li><li> <strong>Defined:</strong></li><li> <strong>Consistently Implemented:</strong>The organization has consistently implemented its organization-wide security awareness and training strategy and plan.</li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong></li></ul>,43,85,17,",",@PK_QGroup+7,3,53103
"To what extent does the organization ensure that security awareness training is provided to all system users and is tailored based on its mission, risk environment, and types of information systems? (Note: awareness training topics should include, as appropriate: consideration of organizational policies, roles and responsibilities, secure e-mail, browsing, and remote access practices, mobile device security, secure use of social media, phishing, malware, physical security, and security incident reporting?","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong></li><li> <strong>Defined:</strong></li><li> <strong>Consistently Implemented:</strong>The organization ensures that its security awareness policies and procedures are consistently implemented.
The organization ensures that all appropriate users complete the organization’s security awareness training (or a comparable awareness training for contractors) [within organizationally defined timeframes] and periodically thereafter and maintains completion records.
The organization obtains feedback on its security awareness and training program and uses that information to make improvements.</li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong></li></ul>",44,85,17,",",@PK_QGroup+7,4,53104
To what extent does the organization ensure that specialized security training is provided to individuals with significant security responsibilities (as defined in the organization`s security policies and procedures and in accordance with 5 Code of Federal Regulation 930.301)?,"<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong></li><li> <strong>Defined:</strong></li><li> <strong>Consistently Implemented:</strong>The organization ensures that its security training policies and procedures are consistently implemented.
The organization ensures that individuals with significant security responsibilities complete the organization’s defined specialized security training (or comparable training for contractors) [within organizationally defined timeframes] and periodically thereafter. The organization also maintains completion records for specialized training taken by individuals with significant security responsibilities.
The organization obtains feedback on its security training program and uses that information to make improvements.</li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong></li></ul>",45,85,17,",",@PK_QGroup+7,5,53105
"Provide any additional information on the effectiveness (positive or negative) of the organization’s security training program that was not noted in the questions above. Taking into consideration the overall maturity level generated from the questions above and based on all testing performed, is the security training program effective?",,46,85,9,",",@PK_QGroup+7,6,53106
Please provide an IG self-assessment rating (Effective/Not Effective) for the agency’s protect function.,,46.1,85,17,",",@PK_QGroup+7,7,53107
To what extent does the organization use information security continuous monitoring (ISCM) policies and an ISCM strategy that addresses ISCM requirements and activities at each organizational tier?,"<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not developed, tailored, and communicated its ISCM policies and an organization wide ISCM strategy.</li><li> <strong>Defined:</strong></li><li> <strong>Consistently Implemented:</strong></li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong>The organization`s ISCM policies and strategy are fully integrated with its enterprise and supply chain risk management, configuration management, incident response, and business continuity programs.
The organization can demonstrate that it is using its ISCM policies and strategy to reduce the cost and increase the efficiency of security and privacy programs.</li></ul>",47,85,17,,@PK_QGroup+8,1,53118
"To what extent have ISCM stakeholders and their roles, responsibilities, levels of authority, and dependencies been defined, communicated, and implemented across the organization?","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>Roles and responsibilities have not been fully defined and communicated across the organization, including appropriate levels of authority and dependencies.</li><li> <strong>Defined:</strong></li><li> <strong>Consistently Implemented:</strong></li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong>The organization continuously evaluates and adapts its ISCM- based roles and responsibilities to account for a changing cybersecurity landscape.</li></ul>",48,85,17,",",@PK_QGroup+8,2,53119
"How mature are the organization`s processes for performing ongoing information system assessments, granting system authorizations, including developing and maintaining system security plans, and monitoring system security controls?","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not developed system level continuous monitoring strategies/policies that define its processes for performing ongoing security control assessments, granting system authorizations, including developing and maintaining system security plans, monitoring security controls for individual systems; and time-based triggers for ongoing authorization.</li><li> <strong>Defined:</strong></li><li> <strong>Consistently Implemented:</strong></li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong>The organization`s system level ISCM policies and strategies are fully integrated with its enterprise and supply chain risk management, configuration management, incident response, and business continuity programs.
The organization can demonstrate that it is using its system level ISCM policies and strategy to reduce the cost and increase the efficiency of security and privacy programs.</li></ul>",49,85,17,",",@PK_QGroup+8,3,53120
How mature is the organization`s process for collecting and analyzing ISCM performance measures and reporting findings?,"<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not identified and defined the qualitative and quantitative performance measures that will be used to assess the effectiveness of its ISCM program, achieve situational awareness, and control ongoing risk. Further, the organization has not defined how ISCM information will be shared with individuals with significant security responsibilities and used to make risk-
based decisions.</li><li> <strong>Defined:</strong></li><li> <strong>Consistently Implemented:</strong></li><li> <strong>Managed and Measurable:</strong></li><li> <strong>Optimized:</strong>On a near real-time basis, the organization actively adapts its ISCM program to a changing cybersecurity landscape and responds to evolving and sophisticated threats in a timely manner.</li></ul>",50,85,17,",",@PK_QGroup+8,4,53121
"Provide any additional information on the effectiveness (positive or negative) of the organization’s ISCM program that was not noted in the questions above. Taking into consideration the overall maturity level generated from the questions above and based on all testing performed, is the ISCM program effective?",,51,85,9,",",@PK_QGroup+8,5,53122
Please provide an IG self-assessment rating (Effective/Not Effective) for the agency’s detect function.,,51.1,85,17,",",@PK_QGroup+8,6,53123
"To what extent does the organization use an incident response plan to provide a formal, focused, and coordinated approach to responding to incidents?","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not developed an incident response plan to provide a roadmap for implementing its incident response capability.</li><li> <strong>Defined:</strong>The organization has developed a tailored incident response plan that addresses:
<br> Structure and organization of the incident response capability
<br> High-level approach for how the incident response capability fits into the overall organization
<br> Defines reportable incidents, including major incidents
<br> Metrics for measuring the incident response capability
<br> Resources and management support</li><li> <strong>Consistently Implemented:</strong>The organization consistently implements  its incident response plan. Further, the organization is consistently capturing and sharing lessons learned on the effectiveness of its incident response plan and making updates as necessary.</li><li> <strong>Managed and Measurable:</strong>The organization monitors and analyzes the qualitative and quantitative performance measures that have been defined in its incident response plan to monitor and maintain the effectiveness of its overall incident response capability. The organization ensures that data supporting metrics are obtained accurately, consistently, and in a reproducible format.</li><li> <strong>Optimized:</strong>The organization`s incident response plan is fully integrated with risk management, continuous monitoring, continuity of operations, and other mission/business areas, as appropriate.
In addition, the organization make near real-time updates to its incident response plan based on changing risk environments and threat information.
The organization participates in DHS’s Cyber Storm national level exercise, as appropriate, or other exercises, to assess, cybersecurity preparedness, and examine incident response
processes.</li></ul>",52,85,17,,@PK_QGroup+9,1,53134
"To what extent have incident response team structures/models, stakeholders, and their roles, responsibilities, levels of authority, and dependencies been defined, communicated, and implemented across the organization?","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>Roles and responsibilities have not been fully defined and communicated across the organization, including appropriate levels of authority and dependencies.</li><li> <strong>Defined:</strong>The organization has defined and communicated the structures of its incident response teams, roles and responsibilities of incident response stakeholders, and associated levels of authority and dependencies. In addition, the organization has designated a principal security operations center or equivalent organization that is accountable to agency leadership, DHS, and OMB for all incident
response activities.</li><li> <strong>Consistently Implemented:</strong>Individuals are performing the roles and responsibilities that have been defined across the organization.</li><li> <strong>Managed and Measurable:</strong>Resources (people, processes, and technology) are allocated in a risk-based manner for stakeholders to effectively implement incident response activities. Further, stakeholders are held accountable for carrying out their roles and responsibilities effectively.</li><li> <strong>Optimized:</strong>The organization continuously evaluates and adapts its incident response-based roles and responsibilities to account for a changing cybersecurity landscape.</li></ul>",53,85,17,",",@PK_QGroup+9,2,53135
How mature are the organization`s processes for incident detection and analysis?,"<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not defined and communicated its policies, procedures, and processes for incident detection and analysis. In addition, the organization has not defined a common threat vector taxonomy for classifying incidents and its processes for detecting, analyzing, and prioritizing incidents.</li><li> <strong>Defined:</strong>The organization has defined and communicated its policies, procedures, and processes for incident detection and analysis.
In addition, the organization has defined a common threat vector taxonomy and developed handling procedures for specific types of incidents, as appropriate.
In addition, the organization has defined its processes and supporting technologies for detecting and analyzing incidents, including the types of precursors and indicators and how they are generated and reviewed, and for prioritizing incidents.</li><li> <strong>Consistently Implemented:</strong>The organization consistently implements its policies, procedures, and processes for incident detection and analysis. In addition, the organization consistently uses its threat vector taxonomy to classify incidents and consistently implements its processes for incident detection, analysis, and prioritization.
In addition, the organization consistently implements, and analyzes precursors and indicators generated by, for example, the following technologies: intrusion detection/prevention, security information and event management  (SIEM), antivirus and antispam software, and  file integrity checking software.
Further, the organization is consistently capturing and sharing lessons learned on the effectiveness of its incident detection policies and procedures and making updates as necessary.
In addition, the organization is meeting logging requirements at maturity EL1 (basic), in
accordance with M-21-31.</li><li> <strong>Managed and Measurable:</strong>The organization monitors and analyzes qualitative and quantitative performance measures on the effectiveness of its incident detection and analysis policies and procedures.
The organization ensures that data supporting  metrics are obtained accurately, consistently, and in a reproducible format.
The organization uses profiling techniques to measure the characteristics of expected activities on its networks and systems so that it can more effectively detect security incidents. Examples of profiling include running file integrity checking software on hosts to derive checksums for critical files and monitoring network bandwidth usage to determine what the average and peak usage levels are on various days and times. Through profiling techniques, the  organization maintains a comprehensive baseline of network operations and expected data flows for users and systems.
In addition, the organization is meeting logging requirements at maturity EL2 (intermediate), in accordance with M-21-31.</li><li> <strong>Optimized:</strong>The organization is making demonstrated progress towards implementing EL3’s (advanced) requirements for its logging capabilities.</li></ul>",54,85,17,",",@PK_QGroup+9,3,53136
How mature are the organization`s processes for incident handling?,"<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not defined its policies, procedures, and processes for incident handling to include containment strategies for various types of major incidents, eradication activities to eliminate components of an incident and mitigate any vulnerabilities that were exploited, and recovery of systems.</li><li> <strong>Defined:</strong>The organization has defined its policies, procedures, and processes for incident handling to include containment strategies for each key incident type. In developing its strategies, the organization takes into consideration: the potential damage to and theft of resources, the need for evidence preservation, service availability, time and resources needed to implement the strategy, effectiveness of the strategy, and duration of the solution. In addition, the organization has defined its processes to eradicate components of an incident, mitigate any vulnerabilities that were exploited, and recover
system operations.</li><li> <strong>Consistently Implemented:</strong>The organization consistently implements its incident handling policies, procedures, containment strategies, and incident eradication processes.
In addition, the organization consistently implements processes to remediate vulnerabilities that may have been exploited on the target system(s) and recovers system operations.
Further, the organization is consistently capturing and sharing lessons learned on the effectiveness of its incident handling policies and procedures and making updates as necessary.</li><li> <strong>Managed and Measurable:</strong>The organization monitors and analyzes qualitative and quantitative performance measures on the effectiveness of its incident handling policies and procedures. The organization ensures that data supporting metrics are obtained accurately, consistently, and in a reproducible format.
The organization manages and measures the impact of successful incidents and can quickly mitigate related vulnerabilities on other systems so that they are not subject to exploitation of the same vulnerability.</li><li> <strong>Optimized:</strong>The organization uses dynamic reconfiguration (e.g., changes to router rules, access control lists, and filter rules for firewalls and gateways) to stop attacks, misdirect attackers, and to isolate components of systems.</li></ul>",55,85,17,",",@PK_QGroup+9,4,53137
To what extent does the organization ensure that incident response information is shared with individuals with significant security responsibilities and reported to external stakeholders in a timely manner?,"<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not defined its policies, procedures, and processes to share incident response information with individuals with significant security responsibilities or its processes for reporting security incidents, including major incidents, to US-CERT and other stakeholders (e.g., Congress and the Inspector General, as applicable) in a timely manner.</li><li> <strong>Defined:</strong>The organization has defined its policies, procedures, and processes to report suspected security incidents to the organization`s incident response capability within organization defined timeframes. In addition, the organization has defined its processes for reporting security incident information, including for major incidents, to US- CERT, law enforcement, the Congress and the Office of Inspector General, as appropriate.</li><li> <strong>Consistently Implemented:</strong>The organization consistently shares information on incident activities with internal stakeholders. The organization ensures that security incidents are reported to US-CERT, law enforcement, the Office of Inspector General, and the Congress (for major incidents) in a timely manner.
Further, the organization is consistently capturing and sharing lessons learned on the effectiveness of its incident reporting policies and procedures and making updates as
necessary.</li><li> <strong>Managed and Measurable:</strong>Incident response metrics are used to measure and manage the timely reporting of incident information to organizational officials and external stakeholders. The organization ensures that data supporting metrics are obtained accurately, consistently, and in a reproducible format.</li><li> <strong>Optimized:</strong>The organization receives, retains, uses, and disseminates cyber threat indicators in accordance with the Cybersecurity Information Sharing Act of 2015.</li></ul>",56,85,17,",",@PK_QGroup+9,5,53138
"To what extent does the organization collaborate with stakeholders to ensure on-site, technical assistance/surge capabilities can be leveraged for quickly responding to incidents, including through contracts/agreements, as appropriate, for incident response support?","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not defined how it will collaborate with DHS and other parties, as appropriate, to provide on-site, technical assistance/surge resources/special capabilities for quickly responding to incidents. In  addition, the organization has not defined how it plans to use DHS` Einstein program for intrusion detection/prevention capabilities for traffic entering and leaving the organization`s networks.</li><li> <strong>Defined:</strong>The organization has defined how it will collaborate with DHS and other parties, as appropriate, to provide on-site, technical assistance/surge resources/special capabilities for quickly responding to incidents.
This includes identification of incident response services that may need to be procured to support organizational processes. In addition, the organization has defined how it plans to use DHS` Einstein program for intrusion detection/prevention capabilities for traffic entering and leaving the organization`s
networks.</li><li> <strong>Consistently Implemented:</strong>The organization consistently uses on-site, technical assistance/surge capabilities offered by DHS or ensures that such capabilities are in place and can be leveraged when needed. In addition, the organization has entered contractual relationships in support of incident response processes (e.g., for forensic support), as needed. The organization has fully deployed DHS’ Einstein 1 and 2 to screen all traffic entering and leaving its network through a TIC.</li><li> <strong>Managed and Measurable:</strong>The organization uses Einstein 3 Accelerated, and/or other comparable tools or services, to detect and proactively block cyber- attacks or prevent potential compromises.</li><li> <strong>Optimized:</strong>The organization is making progress in implementing information sharing and reporting patterns to provide telemetry information to CISA for its cloud-based environments not covered by Einstein 3 Accelerated.</li></ul>",57,85,17,",",@PK_QGroup+9,6,53139
"To what extent does the organization use the following technology to support its incident response program?
<br> Web application protections, such as web application firewalls
<br> Event and incident management, such as intrusion detection and prevention tools, and incident tracking and reporting tools
<br> Aggregation and analysis, such as security information and event management (SIEM) products
<br> Malware detection, such as antivirus and antispam software technologies
<br> Information management, such as data loss prevention
<br> File integrity and endpoint and server
security tools","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>The organization has not identified and defined its requirements for incident response technologies needed in one or more of the specified areas and relies on manual/procedural methods in instances where automation would be more effective.</li><li> <strong>Defined:</strong>The organization has identified and fully defined its requirements for the incident response technologies it plans to use in the specified areas. While tools are implemented to support some incident response activities, the tools are not interoperable to the extent practicable, do not cover all components of the organization’s network, and/or have not been configured to collect and retain relevant and meaningful data consistent with the organization’s incident response policy, plans, and procedures.</li><li> <strong>Consistently Implemented:</strong>The organization has consistently implemented its defined incident response technologies in the specified areas. In addition, the technologies used are interoperable to the extent practicable, cover all components of the organization`s network, and have been configured to collect and retain relevant and meaningful data consistent with the organization’s incident response policy, procedures, and plans.</li><li> <strong>Managed and Measurable:</strong>The organization evaluates the effectiveness of its incident response technologies and makes adjustments to configurations and toolsets, as appropriate.</li><li> <strong>Optimized:</strong>The organization has institutionalized the implementation of advanced incident response technologies for analysis of trends and performance against benchmarks (e.g., simulation-based technologies to continuously determine the impact of potential security incidents to its IT assets) and adjusts incident response processes and security measures accordingly.</li></ul>",58,85,17,",",@PK_QGroup+9,7,53140
"Provide any additional information on the effectiveness (positive or negative) of the organization’s incident response program that was not noted in the questions above. Taking into consideration the overall maturity level generated from the questions above and based on all testing performed, is the incident response program effective?",,59,85,9,",",@PK_QGroup+9,8,53141
Please provide an IG self-assessment rating (Effective/Not Effective) for the agency’s respond function.,,59.1,85,17,",",@PK_QGroup+9,9,53142
"To what extent have roles and responsibilities of stakeholders involved in information systems contingency planning been defined, communicated, and implemented across the organization, including appropriate delegations of authority?","<br/><br/><h6><b>Maturity Level:</b></h6><ul><li> <strong>Ad Hoc:</strong>Roles and responsibilities have not been fully defined and communicated across the organization, including appropriate delegations of authority.</li><li> <strong>Defined:</strong>Roles and responsibilities of stakeholders have been fully defined and communicated across the organization, including appropriate delegations of authority. In addition, the organization has designated appropriate teams to implement its contingency planning strategies. Further, the organization has defined its policies and procedures for providing contingency training consistent with
roles and responsibilities.</li><li> <strong>Consistently Implemented:</strong>Individuals are performing the roles and responsibilities that have been defined across the organization.
The organization ensures that contingency training is provided consistent with roles and responsibilities to ensure that the appropriate content and level of detail is included.</li><li> <strong>Managed and Measurable:</strong>Resources (people, processes, and technology) are allocated in a risk-based manner for stakeholders to effectively implement system contingency planning activities. Further, stakeholders are held accountable for carrying out their roles and responsibilities effectively.</li><li> <strong>Optimized:</strong>The organization incorporates simulated events into contingency training to facilitate effective response by stakeholders (internal and external) involved in information systems contingency planning and to measure the extent to which individuals are equipped to perform their roles and responsibilities.</li></ul>",60,85,17,,@PK_QGroup+10,1,53153
